url	topic_name	topic	probability	main_topic
http://twitter.com/i/web/status/1576209958315905026	walk_jump_walks	186	3.0	186
http://twitter.com/i/web/status/1576210575415078913	spooky_spooks_season	245	100.0	245
http://twitter.com/i/web/status/1576210825224028161	month_windominospizza_chance	377	7.0	377
http://twitter.com/i/web/status/1576210899375128577	st_october_octopop	339	100.0	339
http://twitter.com/i/web/status/1576211701552541696	verstappen_suzuka_mexicogp	87	100.0	87
http://twitter.com/i/web/status/1576212230907236354	owe_apology_forgive	58	2.0	58
http://twitter.com/i/web/status/1576213834456760322	nurse_patient_nursing	421	7.0	421
http://twitter.com/i/web/status/1576216060101283840	october_draining_tiring	66	100.0	66
http://twitter.com/i/web/status/1576216563052531712	pelosi_paul_nancy	2	1.0	2
http://twitter.com/i/web/status/1576216654685827072	tak_jakarta_yang	14	7.0	14
http://twitter.com/i/web/status/1576217111533260802	ukraine_russia_russian	1	3.0	-1
http://twitter.com/i/web/status/1576217900813549568	who_homies_me	175	100.0	175
